bibkey,title,authors,year,venue,url,code,problem,method,agent_type,experience_type,what_is_updated,benchmark,key_contribution,limitation,lifecycle_stage,relation_to_taxonomy
kuratov2024babilong,BABILong: Testing the Limits of LLMs with Long Context Reasoning-in-a-Haystack,Kuratov et al.,2024,NeurIPS 2024:106519-106554,https://proceedings.neurips.cc/paper_files/paper/2024/file/c0d62e70dbc659cc9bd44cbcf1cb652f-Paper-Datasets_and_Benchmarks_Track.pdf,,Long-context QA benchmark,Long-context retrieval eval,Benchmark,Trajectories,Evaluation,Custom,BABILong benchmark,QA only,Stage 8,Stage 8 evaluation
castillo-bolado2024beyond,Beyond Prompts: Dynamic Conversational Benchmarking of Large Language Models,Castillo-Bolado et al.,2024,NeurIPS 2024:42528-42565,https://doi.org/10.52202/079017-1347,,Dynamic conversational benchmark,Interleaved task evaluation,Benchmark,Conversation,Evaluation,Custom,Highlights LTM benefit,Domain breadth,Stage 8,Stage 8 evaluation
continual_coding_2025,Continual Learning for Coding Agents,Anonymous,2025,arXiv 2507.00014,https://arxiv.org/html/2507.00014,,Continual learning for coding agents,Stream of issues fixes features,Coding agent,Trajectories,Memory + weights,Coding tasks,Continual coding,Domain,Stages 1-7,Cross-stage anchor
office_long_horizon_2025,Evaluating LLM Agents on Long-Horizon Office Workflows,Anonymous,2025,arXiv 2508.09124,https://arxiv.org/abs/2508.09124,,Long-horizon office workflows,End-to-end office agents,Office agent,Trajectories,Evaluation,Custom,Long-horizon office benchmark,Domain,Stage 8,Stage 8 evaluation
minja_2025,MINJA: Memory Injection Attack,Dong et al.,2025,arXiv 2601.05504,https://arxiv.org/html/2601.05504v1,,Memory poisoning attack,Inject malicious memory,Tool-using agent,Adversarial inputs,Memory,Custom,>95% injection success,Idealized conditions,Stage 8,Stage 8 attack
sleeper_memory_2025,Sleeper Memory Poisoning in LLM Agents,Anonymous,2025,arXiv 2605.15338,https://arxiv.org/abs/2605.15338,,Sleeper poisoning of persistent memory,Latent malicious memory,Tool-using agent,Adversarial,Memory,Custom,60-89% attack success on retrieved memories,Specific,Stage 8,Stage 8 attack
when_memory_poisoning_2025,When Memory Poisoning Looks Like Model Failure in Agentic AI,Anonymous,2025,arXiv 2605.22842,https://arxiv.org/abs/2605.22842,,Detection of memory poisoning,Counterfactual Composition Testing,Tool-using agent,Adversarial,Memory,Custom,87.5% causal entry detection accuracy,Specific,Stage 8,Stage 8 defense
weaponizing_memory_2025,Weaponizing Agent Memory for Data Exfiltration,Anonymous,2025,arXiv 2605.01970,https://arxiv.org/html/2605.01970v2,,Memory-based exfiltration,Construct adversarial memories,Tool-using agent,Adversarial,Memory,Custom,Memory as exfil channel,Specific,Stage 8,Stage 8 attack
poisoned_experience_retrieval_2025,Persistent Compromise of LLM Agents via Poisoned Experience Retrieval,Anonymous,2025,arXiv 2512.16962,https://arxiv.org/html/2512.16962,,Poisoned experience retrieval,Inject malicious procedure templates,Tool-using agent,Adversarial,Experience store,Custom,Persistent compromise via retrieval,Specific,Stage 8,Stage 8 attack on stage 5 artifacts
leaky_thoughts_2025,Leaky Thoughts: Reasoning Traces Leak Private Data,Anonymous,2025,arXiv,https://arxiv.org/abs/2506.15674,,Privacy of reasoning traces,Probe reasoning trace leakage,Reasoning agent,Trajectories,Trace,Custom,Reasoning traces leak data,Privacy,Stage 8,Stage 8 privacy risk
secure_agentic_web_2025,From Secure Agentic AI to Secure Agentic Web,Anonymous,2025,arXiv 2603.01564,https://arxiv.org/html/2603.01564v1,,Security of agentic systems,Threat model for agentic web,Position,Mixed,Mixed,N/A,Security framework,Position paper,Stage 8,Stage 8 governance
privacy_multi_agent_2026,Privacy-Preserving Multi-Agent Memory with Bayesian Trust Defense,Anonymous,2026,arXiv 2603.02240,https://arxiv.org/html/2603.02240v1,,Privacy-preserving multi-agent memory,Bayesian trust defense against poisoning,Multi-agent,Adversarial,Memory,Custom,Privacy-preserving multi-agent memory,Specific,Stage 8,Stage 8 defense
agentrxiv_2025,AgentRxiv: Parallel AI Research Labs,Anonymous,2025,arXiv,https://arxiv.org/abs/2503.18102,,Multi-agent research collaboration,Parallel labs sharing research,Multi-agent,Cross-agent shared findings,Memory + skills,Multi-task,+13.7% via shared research,Compute,Stage 8,Stage 8 multi-agent sharing
mae_2025,Multi-Agent Evolve (MAE),Anonymous,2025,arXiv,https://arxiv.org/abs/2510.23595,,Proposer-solver-judge co-evolution,Three-role multi-agent self-play,Multi-agent,Self-generated,Weights,Reasoning,Co-evolution dynamics,Specific recipe,Stages 1 6 8,Stages 1/6/8
chen2025optima,Optima: Optimizing Effectiveness and Efficiency for LLM-Based Multi-Agent System,Chen et al.,2025,Findings of ACL 2025,https://aclanthology.org/2025.findings-acl.601/,,Communication-efficient multi-agent coordination,Token-aware multi-agent optimization,Multi-agent,Inter-agent feedback,Weights,Multi-agent tasks,2.8x performance with <10% tokens,Specific,Stages 6 8,Stages 6/8
shade_arena_2025,SHADE-Arena: Saboteur vs. Monitor,Anonymous,2025,arXiv,https://arxiv.org/abs/2506.15740,,Adversarial multi-agent benchmark,Saboteur and monitor agents,Multi-agent,Adversarial,Evaluation,Custom,27% undetected sabotage,Specific,Stage 8,Stage 8 adversarial benchmark
single_multi_loop_2026,The Single-Multi Evolution Loop,Anonymous,2026,arXiv,https://arxiv.org/abs/2602.05182,,Single-multi distillation loop,Distill multi-agent into single agent then re-collaborate,Multi-agent,Trajectories,Weights,Multi-agent tasks,Single-multi loop,Specific,Stages 5 6 8,Stages 5/6/8
cowork_x_2026,CoWork-X: Experience-Optimized Multi-Agent Co-Evolution,Anonymous,2026,arXiv,https://arxiv.org/abs/2602.05004,,Experience-optimized multi-agent,Fast-slow memory + co-evolution,Multi-agent,Trajectories,Memory + weights,Multi-agent tasks,Fast-slow co-evolution,Specific,Stages 4 6 8,Stages 4/6/8
sarch2024ical,VLM Agents Generate Their Own Memories: Distilling Experience into Embodied Programs of Thought,Sarch et al.,2024,NeurIPS 2024,https://proceedings.neurips.cc/paper_files/paper/2024/file/8ac50fd0a4eeeb1f077b17bb7c5353c3-Paper-Conference.pdf,,Continual multimodal agents,Trajectories→insights for in-context learning,Multimodal agent,Trajectories,External insights,Multimodal,Trajectory-to-insight pipeline,Multimodal,Stages 4 5 3,Stages 4/5
multiagent_rag_self_train_2025,Optimizing Multi-Agent RAG through Self-Training,Anonymous,2025,arXiv 2506.10844,https://arxiv.org/html/2506.10844,,Self-training multi-agent RAG,Reward-guided trajectory sampling,Multi-agent,Trajectories,Weights,RAG benchmarks,Self-training MA-RAG,RAG-specific,Stages 1 6,Stages 1/6
abductive_rag_2025,Abductive Reasoning Path Synthesis for Training RAG Agents,Anonymous,2025,arXiv 2509.23071,https://arxiv.org/html/2509.23071v1,,Process-level supervision for RAG,Synthesize reasoning paths,RAG agent,Synthesized trajectories,Weights,RAG benchmarks,Process-level supervision,RAG-specific,Stages 1 6,Stages 1/6
beyond_one_shot_med_2025,Beyond One-Shot Diagnosis with Agents That Remember Reflect and Improve,Anonymous,2025,arXiv 2604.14475,https://arxiv.org/html/2604.14475v1,,Medical agent that remembers and reflects,Remember-reflect-improve loop,Medical agent,Trajectories,Memory,Medical,Memory-reflective med agent,Medical domain,Stages 2 4 5,Stages 2/4/5
reasoning_active_inference_2025,Active Inference in the Era of Experience,Anonymous,2025,arXiv 2508.05619,https://arxiv.org/abs/2508.05619,,Active inference complement to era of experience,Free-energy formulation,Position,Conceptual,N/A,N/A,Theoretical complement to era of experience,Theoretical,Framing,Theoretical framing
geoevolver_2026,GeoEvolver: Experience-Driven Multi-Agent Earth Observation,Anonymous,2026,arXiv 2602.02559,https://arxiv.org/html/2602.02559,,Multi-agent earth observation,Sub-goal decomposition + tool exploration,Multi-agent,Trajectories,Memory + tools,Earth obs,Domain-specific multi-agent experience,Domain,Stages 1 5,Domain example
self_calibrating_test_time_2026,SECL: Self-Calibrating LMs via Test-Time Discriminative Distillation,Anonymous,2026,arXiv 2604.09624,https://arxiv.org/abs/2604.09624,,Test-time self-calibration,Adapts only on shifts; 6-26% of stream,Test-time agent,Test stream,Weights,Stream tasks,Selective test-time adaptation,Specific,Stage 6,Stage 6 selective TT adaptation
adaptive_compute_test_time_2026,Adaptive Compute Allocation for Code Generation via Test-Time Training,Anonymous,2026,arXiv 2601.00894,https://arxiv.org/html/2601.00894,,Adaptive TTT for code,Threshold-based gating with EMA,Coding agent,Test stream,Weights,Code,Training-free gating for TTT,Specific,Stage 6,Stage 6 TTT
test_time_learning_2025,Test-Time Learning for Large Language Models,Anonymous,2025,arXiv 2505.20633,https://arxiv.org/abs/2505.20633,,Test-time learning via input perplexity,Self-supervised perplexity-driven adaptation,Test-time LM,Test inputs,Weights,Various,Self-supervised TTT,Specific,Stage 6,Stage 6 TTT
rl_search_efficient_2025,RL for Search-Efficient LLMs,Anonymous,2025,arXiv,https://arxiv.org/abs/2505.07903,,Learn when to search vs use internal knowledge,RL on search efficiency,Search-using LM,Outcomes,Weights,Search benchmarks,Learn when to search,Specific,Stage 6,Stage 6 RL for retrieval
zerosearch_2025,ZeroSearch,Anonymous,2025,arXiv,https://arxiv.org/abs/2505.04588,,RL without real search engines,Simulated search rewards,Search-using LM,Outcomes,Weights,Search benchmarks,RL without real search,Specific,Stage 6,Stage 6 RL
self_taught_evaluators_2025,Self-Taught Evaluators,Anonymous,2025,arXiv,https://arxiv.org/abs/2408.02666,,Learn to judge without labels,Bootstrap evaluator from outputs,Evaluator LM,Generated traces,Weights,Eval,Match GPT-4 as judge,Specific,Stages 1 6 8,Stages 1/6/8 evaluation
benchmarking_continuous_2025,Continuous Benchmark Generation for Enterprise LLM Agents,Anonymous,2025,arXiv 2511.10049,https://arxiv.org/html/2511.10049v1,,Continuous benchmark generation,Generate benchmarks dynamically,Eval framework,N/A,Evaluation,Custom,Continuous benchmark generation,Specific,Stage 8,Stage 8 evaluation
self_questioning_2025,Self-Questioning Agents (AgentEvolver self-questioning component),Anonymous,2025,arXiv,https://arxiv.org/abs/2508.03682,,Self-questioning task generation,Generate own tasks via self-questioning,Self-evolving agent,Self-generated,Tasks,Custom,Self-generated curricula,Specific,Stage 1,Stage 1 acquisition
loca_bench_2026,Benchmarking Language Agents Under Controllable and Extreme Context Growth,Anonymous,2026,arXiv 2602.07962,https://arxiv.org/html/2602.07962,,Extreme context growth benchmark,Controllable state growth,Benchmark,Mixed,Evaluation,Custom,Tests context-management,Synthetic,Stage 8,Stage 8 evaluation
clune2019aiga,AI-Generating Algorithms,Clune,2019,arXiv,https://arxiv.org/abs/1905.10985,,AI-GAs as path to AGI,Three-pillar meta-learning,Position,Conceptual,N/A,N/A,Foundational AI-GA framework,Conceptual,Framing,Theoretical foundation
schmidhuber2007godel,Gödel Machines,Schmidhuber,2007,Springer AGI,https://arxiv.org/abs/cs/0309048,,Self-rewriting machines,Proof-based self-modification,Theoretical,Conceptual,Code,N/A,Theoretical foundation,Theoretical,Framing,Theoretical foundation
stanley2015whygreatness,Why Greatness Cannot Be Planned,Stanley and Lehman,2015,Springer book,https://doi.org/10.1007/978-3-319-15524-1,,Open-ended evolution,Quality-diversity,Position,Conceptual,N/A,N/A,Foundational open-ended evolution,Conceptual,Framing,Theoretical foundation
foerster2016emergent,Emergent Communication in Multi-Agent RL,Foerster et al.,2016,NeurIPS,https://arxiv.org/abs/1605.06676,,Emergent communication,Multi-agent RL,Multi-agent RL,Inter-agent,Weights,Custom,Emergent communication,Pre-LLM,Stage 8,Stage 8 background
silver2017alphagozero,Mastering the Game of Go without Human Knowledge,Silver et al.,2017,Nature,https://www.nature.com/articles/nature24270,,Self-play in games,RL self-play,Game agent,Self-play,Weights,Go,Self-play to superhuman,Game-specific,Stages 1 6,Stage 1/6 background
ouyang2022rlhf,RLHF: Training Language Models to Follow Instructions with Human Feedback,Ouyang et al.,2022,NeurIPS,https://arxiv.org/abs/2203.02155,,Alignment via human feedback,RLHF pipeline,LM,Human feedback,Weights,Various,Foundational RLHF,Pre-agent,Stage 6,Stage 6 background
brown2020fewshot,Language Models Are Few-Shot Learners,Brown et al.,2020,NeurIPS,https://arxiv.org/abs/2005.14165,,Emergent few-shot,GPT-3,LM,N/A,N/A,Various,Emergent ICL,Conceptual,Framing,Background
yao2023react,ReAct: Synergizing Reasoning and Acting,Yao et al.,2023,ICLR,https://arxiv.org/abs/2210.03629,,Reasoning and acting interleaved,Thought-action interleaving,Tool-using LM,Outcomes,Prompt,Various,ReAct paradigm,Pre-self-evolving,Stages 1 3,Stage 1/3 background
schick2023toolformer,Toolformer: Language Models Can Teach Themselves to Use Tools,Schick et al.,2023,NeurIPS 2023:68539-68551,https://proceedings.neurips.cc/paper_files/paper/2023/file/d842425e4bf79ba039352da0f658a906-Paper-Conference.pdf,,Self-supervised tool learning,API call insertion,Tool-using LM,Self-generated,Weights,Tool-use,Self-supervised tool learning,Specific,Stages 1 6,Stages 1/6 background
mccloskey1989forgetting,Catastrophic Interference in Connectionist Networks,McCloskey and Cohen,1989,Psychology of Learning,https://doi.org/10.1016/S0079-7421(08)60536-8,,Catastrophic forgetting,Connectionist networks,Position,Conceptual,Weights,N/A,Foundational forgetting,Pre-LLM,Stage 7,Stage 7 background
rolnick2019experience,Experience Replay for Continual Learning,Rolnick et al.,2019,NeurIPS 2019:348-358,https://proceedings.neurips.cc/paper/2019/hash/fa7cdfad1a5aaf8370ebeda47a1ff1c3-Abstract.html,,Experience replay,Replay buffer,Position,Trajectories,Weights,N/A,Replay for continual learning,Pre-LLM,Stages 1 7,Stage 1/7 background
finn2017maml,Model-Agnostic Meta-Learning,Finn et al.,2017,ICML,https://arxiv.org/abs/1703.03400,,Meta-learning,MAML,Position,Conceptual,Weights,Few-shot,Foundational meta-learning,Pre-LLM,Framing,Background
hu2022lora,LoRA: Low-Rank Adaptation of Large Language Models,Hu et al.,2022,ICLR,https://arxiv.org/abs/2106.09685,,Parameter-efficient fine-tuning,Low-rank adapters,LM,Mixed,Weights,Various,Foundational PEFT,Pre-agent,Stage 6,Stage 6 background
lewis2020rag,Retrieval-Augmented Generation,Lewis et al.,2020,NeurIPS,https://arxiv.org/abs/2005.11401,,RAG,Retrieve + generate,LM,Mixed,External + ICL,Various,Foundational RAG,Pre-agent,Stage 3,Stage 3 background
lightthinker_2025,LightThinker: Reasoning Compression,Anonymous,2025,arXiv,https://arxiv.org/abs/2502.15589,,Compress reasoning traces,Token-level compression,Reasoning LM,Reasoning,Memory,Various,70% memory reduction,Specific,Stage 4,Stage 4 compression
hermes_skills_2025,Hermes Agent: Persistent Skills for Personal AI,Anonymous,2025,Industry blog,https://www.turingpost.com/p/hermes,,Persistent self-hosted agent,Skill files + scheduled work,Personal agent,Trajectories,Skill files,Custom,Persistent personal-agent skills,Industry,Stages 5 8,Stages 5/8
openclaw_skills_2025,OpenClaw Agent Skills (SKILL.md),Anonymous,2025,Industry blog,https://skywork.ai/blog/ai-bot/claude-example-skills-library-ultimate-guide/,,Modular skill library,SKILL.md folders,Personal agent,N/A,Skill files,Custom,Modular skill library,Industry,Stage 5,Stage 5 representation of skills
characterizing_emergent_2026,Characterizing an Emergent Learning Community at Scale,Anonymous,2026,arXiv 2602.18832,https://arxiv.org/html/2602.18832v1,,Large-scale agent social learning,Empirical study of agent social network,Multi-agent,Trajectories,Mixed,Custom,2.8M agents in 3 weeks,Industry-flavored,Stage 8,Stage 8 multi-agent
unified_evolution_skill_rl_2026,Unified Evolution of Skill-Augmented Agents via RL,Anonymous,2026,arXiv 2605.06130,https://arxiv.org/html/2605.06130v3,,Unified RL over skill-augmented agents,RL with persistent skill library,Tool-using agent,Trajectories,Skills + weights,Multi-task,Skill+RL unified,Specific,Stages 5 6,Stage 5/6
synthesizing_trajectories_2025,Synthesizing Agent Trajectories via Test-Time Exploration under Validate-by-Reproduce,Anonymous,2025,arXiv 2510.00415,https://arxiv.org/html/2510.00415v1,,Synthesize agent trajectories,Test-time validate-by-reproduce,Tool-using agent,Synthesized,External + weights,Custom,Synthetic trajectories,Specific,Stages 1 6,Stage 1/6
forecasting_rare_behavior_2025,Forecasting Rare LLM Behaviors,Anonymous,2025,arXiv,https://arxiv.org/abs/2502.16797,,Power-law scaling of rare behaviors,Statistical extrapolation,Position,Mixed,N/A,Custom,Forecasting rare behaviors,Specific,Stage 8,Stage 8 governance
bartoldson2025trajectory,Trajectory Balance with Asynchrony: Decoupling Exploration and Learning for Fast Scalable LLM Post-Training,Bartoldson et al.,2025,NeurIPS 2025,https://proceedings.neurips.cc/paper_files/paper/2025/file/a58e6bd468ae63efd8c95035ea55ee41-Paper-Conference.pdf,,Massively scalable LLM RL,Off-policy replay buffer with TBA,Reasoning LM,Replay,Weights,Reasoning,Scalable replay-buffer RL,Specific,Stage 6,Stage 6 RL
selfevolving_strategic_planning_2025,Self-Evolving LLM Agents for Strategic Planning,Anonymous,2025,arXiv 2506.04651,https://arxiv.org/html/2506.04651,,Long-horizon strategy in stochastic envs,Self-evolving strategy,Strategic agent,Trajectories,Memory + weights,Catan,Long-horizon strategic eval,Domain,Stages 1-8,Cross-stage
